Estado,No cultivo,Cultivo,Tipo / Variedad,Superficie Sembrada (ha),Superficie Cosechada (ha),Superficie Siniestrada (ha),Unidad de medida,Producción,Rendimiento (udm/ha),PMR ($/udm),Valor Producción  (miles de Pesos)
CAMPECHE,37,PLÁTANO,Plátano macho,14,14,0,Tonelada,180.34,12.88,4614.56,832.19
CAMPECHE,38,PLÁTANO,Plátano tabasco,103,102.5,0,Tonelada,1217.07,11.87,4074.08,4958.43
CAMPECHE,39,SÁBILA,Sábila orgánico,100,0,0,Tonelada,0,0,0,0
CAMPECHE,40,SÁBILA,Sábila s/clasificar,35,0,0,Tonelada,0,0,0,0
CAMPECHE,41,SANDÍA,Sandía cambray (sangría),1452.2,1452.2,0,Tonelada,47316.96,32.58,3046.35,144144.12
CAMPECHE,42,SEMILLA DE CAÑA DE AZÚCAR,Semilla de caña de azúcar s/clasificar,125,125,0,Tonelada,5975,47.8,779,4654.53
CAMPECHE,43,SORGO GRANO,Sorgo grano s/clasificar,25976,25973,3,Tonelada,73793.25,2.84,3459.09,255257.79
CAMPECHE,44,SOYA,Soya orgánico,70,70,0,Tonelada,84,1.2,8722.25,732.67
CAMPECHE,45,SOYA,Soya s/clasificar,39950,39950,0,Tonelada,94758.59,2.37,7203.33,682577.2
CAMPECHE,46,STEVIA,Stevia s/clasificar,5,0,0,Tonelada,0,0,0,0
CAMPECHE,47,TAMARINDO,Tamarindo s/clasificar,24.5,24.5,0,Tonelada,124.15,5.07,5536.86,687.4
CAMPECHE,48,TOMATE ROJO (JITOMATE),Tomate rojo (jitomate) saladette,272.5,272.5,0,Tonelada,6298.79,23.11,3820.41,24063.98
CAMPECHE,49,TORONJA (POMELO),Toronja (pomelo) marsh,644.5,624.5,0,Tonelada,21819.68,34.94,3637.38,79366.43
CAMPECHE,50,ZAPOTE,Zapote chico (chico zapote),732,714,0,Tonelada,5941.42,8.32,2860.45,16995.12
CAMPECHE,51,ZAPOTE CHICLERO,Zapote chiclero s/clasificar,182,0,0,Tonelada,0,0,0,0
COAHUILA DE ZARAGOZA,1,ACEITUNA,Aceituna negra,15,0,0,Tonelada,0,0,0,0
COAHUILA DE ZARAGOZA,2,ACELGA,Acelga s/clasificar,13,13,0,Tonelada,221.37,17.03,5352.21,1184.82
COAHUILA DE ZARAGOZA,3,AJO,Ajo blanco,10,10,0,Tonelada,17.5,1.75,23714.29,415
COAHUILA DE ZARAGOZA,4,AJO,Ajo morado,1,1,0,Tonelada,16.94,16.94,18750,317.63
COAHUILA DE ZARAGOZA,5,ALFALFA VERDE,Alfalfa verde s/clasificar,21602.15,21532.25,0,Tonelada,1698981.8,78.9,618.46,1050760.5
COAHUILA DE ZARAGOZA,6,ALGODÓN HUESO,Algodón hueso s/clasificar,18017.06,17919.71,97.35,Tonelada,81926.43,4.57,10458.83,856854.8
COAHUILA DE ZARAGOZA,7,ALPISTE,Alpiste s/clasificar,1.5,1.5,0,Tonelada,2.17,1.45,4100,8.9
COAHUILA DE ZARAGOZA,8,AVENA FORRAJERA EN VERDE,Avena forrajera en verde s/clasificar,20774.25,20774.25,0,Tonelada,561344.56,27.02,564.66,316968.9
COAHUILA DE ZARAGOZA,9,AVENA GRANO,Avena grano s/clasificar,48,48,0,Tonelada,85.32,1.78,3434.45,293.03
COAHUILA DE ZARAGOZA,10,CALABACITA,Calabacita criolla,23.5,23.5,0,Tonelada,204.22,8.69,6337.31,1294.21
COAHUILA DE ZARAGOZA,11,CALABACITA,Calabacita italiana (zucchini),195,195,0,Tonelada,4433.15,22.73,4324.94,19173.11
COAHUILA DE ZARAGOZA,12,CALABAZA,Calabaza criolla,6,6,0,Tonelada,72.15,12.03,4493.87,324.23
COAHUILA DE ZARAGOZA,13,CANOLA,Canola s/clasificar,1,1,0,Tonelada,1.5,1.5,5000,7.5
COAHUILA DE ZARAGOZA,14,CÁRTAMO,Cártamo s/clasificar,851,851,0,Tonelada,427,0.5,6992.97,2986
COAHUILA DE ZARAGOZA,15,CEBADA FORRAJERA EN VERDE,Cebada forrajera en verde s/clasificar,1486.5,1486.5,0,Tonelada,35312.07,23.76,771.21,27233.17
COAHUILA DE ZARAGOZA,16,CEBOLLA,Cebolla blanca,318,318,0,Tonelada,11670.92,36.7,5000.94,58365.56
COAHUILA DE ZARAGOZA,17,CHILE VERDE,Chile verde habanero,13.5,13.5,0,Tonelada,290.43,21.51,9133.71,2652.7
