Estado,No cultivo,Cultivo,Tipo / Variedad,Superficie Sembrada (ha),Superficie Cosechada (ha),Superficie Siniestrada (ha),Unidad de medida,Producción,Rendimiento (udm/ha),PMR ($/udm),Valor Producción  (miles de Pesos)
CHIHUAHUA,24,CHILE VERDE,Chile verde caloro,65,65,0,Tonelada,1700,26.15,9000,15300
CHIHUAHUA,25,CHILE VERDE,Chile verde caloro malla sombra,6,6,0,Tonelada,162,27,10000,1620
CHIHUAHUA,26,CHILE VERDE,Chile verde cayene,1615,1615,0,Tonelada,32541,20.15,8116.31,264112.76
CHIHUAHUA,27,CHILE VERDE,Chile verde chilaca,8362.24,8361.24,1,Tonelada,219613.79,26.27,8845.17,1942522.01
CHIHUAHUA,28,CHILE VERDE,Chile verde chilaca malla sombra,6,6,0,Tonelada,390,65,12000,4680
CHIHUAHUA,29,CHILE VERDE,Chile verde habanero malla sombra,6,6,0,Tonelada,210,35,30714.29,6450
CHIHUAHUA,30,CHILE VERDE,Chile verde hungaro (x-cat-ik) malla sombra,6,6,0,Tonelada,360,60,12000,4320
CHIHUAHUA,31,CHILE VERDE,Chile verde jalapeño,8981.83,8981.83,0,Tonelada,373651.77,41.6,6389.4,2387412.26
CHIHUAHUA,32,CHILE VERDE,Chile verde morrón (bell pepper) malla sombra,6,6,0,Tonelada,150,25,15000,2250
CHIHUAHUA,33,CHILE VERDE,Chile verde paprika,3045,3045,0,Tonelada,60336,19.81,7019.53,423530.1
CHIHUAHUA,34,CHILE VERDE,Chile verde poblano,25,25,0,Tonelada,700,28,4061.6,2843.12
CHIHUAHUA,35,CHILE VERDE,Chile verde serrano,215,215,0,Tonelada,7603.75,35.37,12662.72,96284.19
CHIHUAHUA,36,CILANTRO,Cilantro s/clasificar,14,14,0,Tonelada,187.65,13.4,7045.08,1322.01
CHIHUAHUA,37,COL (REPOLLO),Col (repollo) blanca,21,21,0,Tonelada,399.5,19.02,2028.72,810.47
CHIHUAHUA,38,COLIFLOR,Coliflor s/clasificar,3,3,0,Tonelada,36,12,4960,178.56
CHIHUAHUA,39,CRISANTEMO (GRUESA),Crisantemo (gruesa) s/clasificar,6,6,0,Gruesa,6996,1166,330,2308.68
CHIHUAHUA,40,DURAZNO,Durazno oro,1668,1405,0,Tonelada,24035.5,17.11,8513.07,204616.01
CHIHUAHUA,41,ELOTE,Elote s/clasificar,149,149,0,Tonelada,2352.3,15.79,3902.88,9180.75
CHIHUAHUA,42,ESPINACA,Espinaca s/clasificar,1,1,0,Tonelada,15.55,15.55,2500,38.88
CHIHUAHUA,43,FRESA,Fresa invernadero,1.75,1.75,0,Tonelada,74.75,42.71,36424,2722.69
CHIHUAHUA,44,FRIJOL,Frijol azufrado,328.5,328.5,0,Tonelada,100.4,0.31,14788.02,1484.72
CHIHUAHUA,45,FRIJOL,Frijol bayo,180,180,0,Tonelada,70.6,0.39,13633.5,962.53
CHIHUAHUA,46,FRIJOL,Frijol ojo de cabra,738.2,738.2,0,Tonelada,473.69,0.64,15166.66,7184.3
CHIHUAHUA,47,FRIJOL,Frijol pinto americano,9204,9204,0,Tonelada,12399.28,1.35,15326.22,190034.14
CHIHUAHUA,48,FRIJOL,Frijol pinto nacional,460,460,0,Tonelada,372.3,0.81,14691.51,5469.65
CHIHUAHUA,49,FRIJOL,Frijol pinto saltillo,101464.12,101452.12,12,Tonelada,73749.27,0.73,15257.71,1125244.83
CHIHUAHUA,50,GRANADA,Granada roja,40,0,0,Tonelada,0,0,0,0
CHIHUAHUA,51,LECHUGA,Lechuga romana,14.5,14.5,0,Tonelada,313.5,21.62,3749.84,1175.58
CHIHUAHUA,52,MAÍZ FORRAJERO EN VERDE,Maíz forrajero en verde s/clasificar,35403.91,35403.91,0,Tonelada,648069.32,18.31,621.74,402929.89
CHIHUAHUA,53,MAÍZ GRANO,Maíz grano amarillo,130545,130452,93,Tonelada,1085623.24,8.32,3270.79,3550842.04
CHIHUAHUA,54,MAÍZ GRANO,Maíz grano azul,6855,6855,0,Tonelada,9377.5,1.37,4068.34,38150.85
CHIHUAHUA,55,MAÍZ GRANO,Maíz grano blanco,67587,67012,575,Tonelada,106123.97,1.58,3595.07,381523.52
CHIHUAHUA,56,MANZANA,Manzana criolla,44.07,44.07,0,Tonelada,142.19,3.23,2420.24,344.13
CHIHUAHUA,57,MANZANA,Manzana gala,83,51,0,Tonelada,1188.3,23.3,9900,11764.17
CHIHUAHUA,58,MANZANA,Manzana golden delicious,17632.67,17182.88,0,Tonelada,370632.86,21.57,9463.48,3507475.16
CHIHUAHUA,59,MANZANA,Manzana red chief,1198,1063,0,Tonelada,27873,26.22,9221.88,257041.41
CHIHUAHUA,60,MANZANA,Manzana red delicious,9410.07,9138.57,0,Tonelada,183375.44,20.07,9452.82,1733414.49
CHIHUAHUA,61,MANZANA,Manzana rome beauty,353.5,353.5,0,Tonelada,6015.42,17.02,8369.21,50344.34
CHIHUAHUA,62,MELÓN,Melón cantaloupe,743.5,743.5,0,Tonelada,20928.1,28.15,3028.69,63384.82
CHIHUAHUA,63,MELÓN,Melón valenciano (honey dew),61,61,0,Tonelada,2077,34.05,2230.14,4632
CHIHUAHUA,64,MEMBRILLO,Membrillo s/clasificar,38,30,0,Tonelada,345,11.5,6595.65,2275.5
CHIHUAHUA,65,NUEZ,Nuez criolla,1301.4,1301.4,0,Tonelada,1092.61,0.84,66073.42,72192.48
CHIHUAHUA,66,NUEZ,Nuez encarcelada (pecanera),73937.2,52686.03,0,Tonelada,91846.07,1.74,80327.8,7377792.84
CHIHUAHUA,67,ORÉGANO,Orégano s/clasificar,40,15,0,Tonelada,15,1,35000,525
CHIHUAHUA,68,PAPA,Papa alpha (blanca),600,600,0,Tonelada,24000,40,6500,156000
CHIHUAHUA,69,PAPA,Papa criolla,205,205,0,Tonelada,710.28,3.46,11418,8109.98
CHIHUAHUA,70,PAPA,Papa fianna (blanca),1091,1091,0,Tonelada,38453.5,35.25,7028.15,270256.82
CHIHUAHUA,71,PASTOS Y PRADERAS,Pastos y praderas maralfalfa,92,8,0,Tonelada,256,32,400,102.4
CHIHUAHUA,72,PASTOS Y PRADERAS,Pastos y praderas rye grass,4233.18,4233.18,0,Tonelada,134450.71,31.76,418.39,56252.99
CHIHUAHUA,73,PEPINO,Pepino americano chino,58.51,58.51,0,Tonelada,1379.65,23.58,4228.96,5834.49
CHIHUAHUA,74,PERA,Pera s/clasificar,38,38,0,Tonelada,304,8,7276.32,2212
CHIHUAHUA,75,PEREJIL,Perejil s/clasificar,1,1,0,Tonelada,10.12,10.12,7500,75.9
CHIHUAHUA,76,PISTACHE,Pistache s/clasificar,278.31,127.31,0,Tonelada,36.97,0.29,172059.78,6361.05
CHIHUAHUA,77,RÁBANO,Rabanito,1.5,1.5,0,Tonelada,26.85,17.9,4700,126.2
CHIHUAHUA,78,RÁBANO,Rábano s/clasificar,1.5,1.5,0,Tonelada,8.25,5.5,8200,67.65
CHIHUAHUA,79,SANDÍA,Sandía cambray (sangría),205,205,0,Tonelada,10217,49.84,3108.5,31759.59
CHIHUAHUA,80,SANDÍA,Sandía charleston (gray),1632.85,1632.85,0,Tonelada,74098.78,45.38,2667.54,197661.64
CHIHUAHUA,81,SANDÍA,Sandía verde (jubilie),800,800,0,Tonelada,33800,42.25,2855.8,96526.04
CHIHUAHUA,82,SEMILLA DE AVENA GRANO,Semilla de avena grano s/clasificar,1119,1119,0,Tonelada,3471.26,3.1,7745.65,26887.16
CHIHUAHUA,83,SEMILLA DE CACAHUATE,Semilla de cacahuate s/clasificar,87.7,87.7,0,Tonelada,245.17,2.8,16514.83,4048.94
CHIHUAHUA,84,SEMILLA DE FRIJOL,Semilla de frijol pinto saltillo,184,184,0,Tonelada,164.32,0.89,17321.91,2846.34
CHIHUAHUA,85,SEMILLA DE MAÍZ GRANO,Semilla de maíz grano amarillo,180,180,0,Tonelada,1008,5.6,10450,10533.6
CHIHUAHUA,86,SEMILLA DE PAPA,Semilla de papa fianna (blanca),137,137,0,Tonelada,5221.4,38.11,15543.43,81158.48
CHIHUAHUA,87,SEMILLA DE SOYA,Semilla de soya s/clasificar,656,656,0,Tonelada,1878.6,2.86,11218.92,21075.86
CHIHUAHUA,88,SEMILLA DE TRIGO GRANO,Semilla de trigo grano cristalino,240,240,0,Tonelada,1175.7,4.9,5747.59,6757.44
CHIHUAHUA,89,SEMILLA DE TRIGO GRANO,Semilla de trigo grano fuerte,964,964,0,Tonelada,4725.6,4.9,6306.53,29802.15
CHIHUAHUA,90,SEMILLA DE TRIGO GRANO,Semilla de trigo grano medio fuerte,7,7,0,Tonelada,36.75,5.25,7650,281.14
CHIHUAHUA,91,SORGO FORRAJERO EN VERDE,Sorgo forrajero en verde s/clasificar,29447.6,29347.6,100,Tonelada,344733.32,11.75,466.22,160721.1
CHIHUAHUA,92,SORGO GRANO,Sorgo grano s/clasificar,3879,3879,0,Tonelada,15616.96,4.03,3047.46,47592.14
CHIHUAHUA,93,SOYA,Soya s/clasificar,56.98,56.98,0,Tonelada,168.09,2.95,7650,1285.89
CHIHUAHUA,94,TOMATE ROJO (JITOMATE),Tomate rojo (jitomate) bola,48.2,48.2,0,Tonelada,2889,59.94,8095.53,23388
CHIHUAHUA,95,TOMATE ROJO (JITOMATE),Tomate rojo (jitomate) bola invernadero,3.61,3.61,0,Tonelada,425.01,117.73,19746.56,8392.49
CHIHUAHUA,96,TOMATE ROJO (JITOMATE),Tomate rojo (jitomate) bola invernadero exportación,7.86,7.86,0,Tonelada,3198.9,406.98,23238.29,74336.97
CHIHUAHUA,97,TOMATE ROJO (JITOMATE),Tomate rojo (jitomate) bola invernadero orgánico,3.6,3.6,0,Tonelada,1471.68,408.8,19157.65,28193.93
CHIHUAHUA,98,TOMATE ROJO (JITOMATE),Tomate rojo (jitomate) saladette,46,46,0,Tonelada,1300,28.26,10570.19,13741.25
CHIHUAHUA,99,TOMATE ROJO (JITOMATE),Tomate rojo (jitomate) saladette malla sombra exportación,16,16,0,Tonelada,1760,110,12727.27,22400
CHIHUAHUA,100,TOMATE VERDE,Tomate verde s/clasificar,374.5,374.5,0,Tonelada,9819.25,26.22,5036.62,49455.88
CHIHUAHUA,101,TRIGO FORRAJERO VERDE,Trigo forrajero verde s/clasificar,344.45,344.45,0,Tonelada,9464,27.48,444.62,4207.87
CHIHUAHUA,102,TRIGO GRANO,Trigo grano cristalino,47,47,0,Tonelada,84.6,1.8,4074,344.66
CHIHUAHUA,103,TRIGO GRANO,Trigo grano fuerte,18646.66,18646.66,0,Tonelada,94743.7,5.08,3559.87,337275.09
CHIHUAHUA,104,TRIGO GRANO,Trigo grano suave,55,55,0,Tonelada,264,4.8,3720,982.08
CHIHUAHUA,105,TRITICALE FORRAJERO EN VERDE,Triticale forrajero en verde s/clasificar,1693.2,1693.2,0,Tonelada,54542.5,32.21,469.81,25624.85
CHIHUAHUA,106,UVA,Uva fruta,3.5,0,0,Tonelada,0,0,0,0
CHIHUAHUA,107,UVA,Uva industrial,131.5,93,0,Tonelada,893,9.6,9736.28,8694.5
CHIHUAHUA,108,VIVEROS DE DURAZNO,Viveros de durazno (planta) s/clasificar,3,3,0,Planta,90000,30000,20,1800
CHIHUAHUA,109,VIVEROS DE MANZANA,Viveros de manzana (planta) s/clasificar,36,36,0,Planta,1280000,35555.56,48.81,62475
CHIHUAHUA,110,VIVEROS DE NUEZ,Viveros de nuez (planta) s/clasificar,47.5,47.5,0,Planta,2110500,44431.58,166.62,351649.04
CHIHUAHUA,111,ZANAHORIA,Zanahoria nantes,3.5,3.5,0,Tonelada,74.5,21.29,4296.31,320.08
CDMX,1,ACEITUNA,Aceituna manzanilla,4.5,0,0,Tonelada,0,0,0,0
CDMX,2,ACEITUNA,Aceituna negra,1.5,1,0,Tonelada,1.7,1.7,6000,10.2
CDMX,3,ACELGA,Acelga s/clasificar,48.2,48.2,0,Tonelada,941.59,19.54,4855.95,4572.32
CDMX,4,ALFALFA VERDE,Alfalfa verde s/clasificar,16,16,0,Tonelada,1250.01,78.13,992.78,1240.98
CDMX,5,ALHELÍ (GRUESA),Alhelí (gruesa) s/clasificar,4.57,4.57,0,Gruesa,2731,597.59,85.34,233.08
CDMX,6,AMARANTO,Amaranto s/clasificar,122.8,122.8,0,Tonelada,139.91,1.14,23206.43,3246.81
CDMX,7,APIO,Apio s/clasificar,36.9,36.9,0,Tonelada,1506.69,40.83,6051.93,9118.38
CDMX,8,ÁRBOL DE NAVIDAD (PLANTA),Árbol de navidad (planta) s/clasificar,57,12,0,Planta,14988,1249,562.5,8430.75
CDMX,9,ARETILLO (PLANTA),Aretillo (planta) invernadero,3.1,3.1,0,Planta,298515,96295.16,13.5,4029.95
CDMX,10,AVENA FORRAJERA EN VERDE,Avena forrajera en verde s/clasificar,5746.3,5746.3,0,Tonelada,102825.02,17.89,919.24,94521.22
CDMX,11,BEGONIA (PLANTA),Begonia (planta) invernadero,5.38,5.38,0,Planta,764198,142044.24,11.96,9142.29
CDMX,12,BELÉN (PLANTA),Belén (planta) invernadero,5.4,5.4,0,Planta,769303,142463.52,11.21,8621.81
CDMX,13,BETABEL,Betabel s/clasificar,1,1,0,Tonelada,7.3,7.3,3784.08,27.62
CDMX,14,BRÓCOLI,Brócoli s/clasificar,497.4,497.4,0,Tonelada,4674.49,9.4,6014.8,28116.1
CDMX,15,CALABACITA,Calabacita italiana (zucchini),92.66,92.66,0,Tonelada,733.81,7.92,7745.48,5683.71
CDMX,16,CALABAZA,Calabaza de castilla,0.9,0.9,0,Tonelada,7,7.78,6890,48.23
CDMX,17,CALANCOE (PLANTA),Calancoe (planta) invernadero,7.5,7.5,0,Planta,892925,119056.67,10.93,9755.25
CDMX,18,CAPULÍN,Capulín s/clasificar,18.56,17.26,0,Tonelada,18.69,1.08,6533.92,122.12
CDMX,19,CHABACANO,Chabacano s/clasificar,14.28,14.28,0,Tonelada,27,1.89,7156.93,193.24
CDMX,20,CHÍCHARO,Chícharo s/clasificar,14,14,0,Tonelada,36.35,2.6,13893.14,505.02
CDMX,21,CHILACAYOTE,Chilacayote s/clasificar,4,4,0,Tonelada,42,10.5,5058.29,212.45
CDMX,22,CHILE VERDE,Chile verde regional,4.1,4.1,0,Tonelada,21.9,5.34,8916.53,195.27
CDMX,23,CILANTRO,Cilantro s/clasificar,30,30,0,Tonelada,440.25,14.68,6550.45,2883.84
CDMX,24,CINERARIA (PLANTA),Cineraria (planta) invernadero,8.4,8.4,0,Planta,1017416,121120.95,11.79,11991.05
CDMX,25,CIRUELA,Ciruela del país,52.69,49.79,0,Tonelada,157.32,3.16,7284.5,1146
CDMX,26,CIRUELA,Ciruela del país orgánico,0.6,0.6,0,Tonelada,1.98,3.3,7998,15.84
CDMX,27,COL (REPOLLO),Col (repollo) blanca,1.6,1.6,0,Tonelada,15.6,9.75,5545.14,86.5
CDMX,28,COLIFLOR,Coliflor s/clasificar,2.7,2.7,0,Tonelada,62.6,23.19,5665.63,354.67
CDMX,29,CRISANTEMO (PLANTA),Crisantemo (planta) invernadero,3.1,3.1,0,Planta,446500,144032.26,12.58,5616.97
CDMX,30,CYCLAMEN (PLANTA),Cyclamen (planta) invernadero,9.1,9.1,0,Planta,1221100,134186.81,21.94,26794.37
CDMX,31,DALIA (PLANTA),Dalia (planta) s/clasificar,2,2,0,Planta,298000,149000,7.95,2369.1
CDMX,32,DURAZNO,Durazno diamante,40.85,38.6,0,Tonelada,177.34,4.59,8250.04,1463.06
CDMX,33,EBO (JANAMARGO O VEZA),Ebo (janamargo o veza) forrajero,194,194,0,Tonelada,2251.5,11.61,845.33,1903.27
CDMX,34,ELOTE,Elote s/clasificar,876.92,876.92,0,Tonelada,5546.82,6.33,5893.65,32691.02
CDMX,35,ESPINACA,Espinaca s/clasificar,100.9,99.9,1,Tonelada,1591.53,15.93,5101.15,8118.63
CDMX,36,FRAMBUESA,Frambuesa s/clasificar,2.75,2.75,0,Tonelada,9.26,3.37,12221.56,113.17
CDMX,37,FRIJOL,Frijol otros negros,85.4,85.4,0,Tonelada,84.31,0.99,17963.48,1514.5
CDMX,38,GERANIO (PLANTA),Geranio (planta) invernadero,29.3,29.3,0,Planta,3620611,123570.34,11.09,40167.85
CDMX,39,HABA VERDE,Haba verde s/clasificar,174.45,174.45,0,Tonelada,667.44,3.83,7849.82,5239.29
CDMX,40,HIGO,Higo negro,18.75,18.75,0,Tonelada,95.97,5.12,6654.29,638.61
CDMX,41,"HONGOS, SETAS Y CHAMPIÑONES",Hongos setas invernadero,0.88,0.88,0,Tonelada,52.27,59.4,35784.61,1870.46
CDMX,42,LECHUGA,Lechuga escarola,342.8,341.8,1,Tonelada,3557.26,10.41,7351.09,26149.72
CDMX,43,LECHUGA,Lechuga orejona,33.49,33.49,0,Tonelada,295.66,8.83,8168.82,2415.19
CDMX,44,LECHUGA,Lechuga romana,28.9,25.9,3,Tonelada,334.75,12.92,6864.56,2297.91
CDMX,45,LILIUM (PLANTA),Lilium (planta) invernadero,7.1,7.1,0,Tonelada,1049275,147785.21,14.46,15168.54
CDMX,46,MAÍZ FORRAJERO EN VERDE,Maíz forrajero en verde s/clasificar,203.5,203.5,0,Tonelada,4404,21.64,1029.3,4533.04
CDMX,47,MAÍZ GRANO,Maíz grano blanco,3509.07,3509.07,0,Tonelada,4533.44,1.29,4882.05,22132.48
CDMX,48,MANZANA,Manzana golden delicious,131.5,126.3,0,Tonelada,821.86,6.51,12290.06,10100.7
CDMX,49,MANZANA,Manzana golden delicious orgánico,0.6,0.6,0,Tonelada,3.9,6.5,14500,56.55
CDMX,50,MEMBRILLO,Membrillo s/clasificar,4.42,4.42,0,Tonelada,22.36,5.06,5695.21,127.34
CDMX,51,NOCHEBUENA (PLANTA),Noche buena (planta) invernadero,29.6,27.1,2.5,Planta,3073948,113429.82,46.53,143035.32
CDMX,52,NOPALITOS,Nopalitos orgánico,4,4,0,Tonelada,334,83.5,8227.84,2748.1
CDMX,53,NOPALITOS,Nopalitos s/clasificar,2793,2793,0,Tonelada,203509.32,72.86,1979.89,402925.24
CDMX,54,NUBE (MANOJO),Nube (manojo) s/clasificar,5.62,5.62,0,Manojo,6454.6,1148.51,31.84,205.52
CDMX,55,NUEZ,Nuez de castilla s/clasificar,3,3,0,Tonelada,12.02,4.01,26711.21,321.07
CDMX,56,PAPA,Papa alpha (blanca),474,474,0,Tonelada,15854.66,33.45,6976.11,110603.77
CDMX,57,PASTOS Y PRADERAS,Pastos y praderas rye grass,7,7,0,Tonelada,78,11.14,890.58,69.47
CDMX,58,PENSAMIENTO (PLANTA),Pensamiento (planta) invernadero,5.4,5.4,0,Planta,508850,94231.48,8.57,4360.84
CDMX,59,PERA,Pera orgánico,0.6,0.6,0,Tonelada,3.24,5.4,10000,32.4
CDMX,60,PERA,Pera s/clasificar,57.54,53.89,0,Tonelada,271.43,5.04,9018.9,2448
CDMX,61,PETUNIA (PLANTA),Petunia (planta) invernadero,11.4,11.4,0,Planta,1198590,105139.47,11.78,14121.71
CDMX,62,RÁBANO,Rabanito,17.9,17.9,0,Tonelada,179.25,10.01,6995.2,1253.89
CDMX,63,REMOLACHA FORRAJERA,Remolacha forrajera s/clasificar,1,1,0,Tonelada,10.25,10.25,2245.12,23.01
CDMX,64,ROMERITO,Romerito s/clasificar,649.1,649.1,0,Tonelada,4680.94,7.21,4926.53,23060.81
CDMX,65,ROSA (GRUESA),Rosa (gruesa) s/clasificar,3.1,2.5,0,Gruesa,1705,682,294.1,501.44
CDMX,66,ROSA (PLANTA),Rosa (planta) invernadero,12.9,12.9,0,Planta,1252960,97128.68,12.21,15298.64
CDMX,67,TEJOCOTE,Tejocote s/clasificar,11.5,11,0,Tonelada,49.06,4.46,11104.89,544.81
CDMX,68,TOMATE ROJO (JITOMATE),Tomate rojo (jitomate) saladette invernadero,1.54,1.54,0,Tonelada,128.19,83.24,10383.45,1331.05
CDMX,69,TOMATE ROJO (JITOMATE),Tomate rojo (jitomate) saladette orgánico,0.1,0.1,0,Tonelada,8.5,85,12000,102
CDMX,70,TOMATE VERDE,Tomate verde s/clasificar,19,19,0,Tonelada,192,10.11,6355.2,1220.2
CDMX,71,TULIPÁN HOLANDÉS,Tulipán holandés invernadero (planta),1.3,1.3,0,Planta,194880,149907.69,24.42,4758.97
CDMX,72,VERDOLAGA,Verdolaga s/clasificar,182.85,182.85,0,Tonelada,2787.26,15.24,5423.12,15115.65
CDMX,73,ZANAHORIA,Zanahoria nantes,85,85,0,Tonelada,1414,16.64,5778.12,8170.26
CDMX,74,ZARZAMORA,Zarzamora s/clasificar,4.8,4.8,0,Tonelada,15.93,3.32,11153.43,177.67
CDMX,75,ZEMPOALXOCHITL (MANOJO),Zempoalxochitl (manojo) s/clasificar,21,21,0,Manojo,21735,1035,50,1086.75
CDMX,76,ZEMPOALXOCHITL (PLANTA),Zempoalxochitl (planta) s/clasificar,9.3,8,1.3,Planta,1046800,130850,9,9421.2
DURANGO,1,ACELGA,Acelga s/clasificar,19,19,0,Tonelada,380.1,20.01,3849.72,1463.28
DURANGO,2,AGAVE,Agave mezcalero,353,0,0,Tonelada,0,0,0,0
DURANGO,3,AGUACATE,Aguacate criollo,55,55,0,Tonelada,208.67,3.79,13201.36,2754.73
DURANGO,4,AGUACATE,Aguacate hass,1031.5,983,0,Tonelada,3811.84,3.88,16459.65,62741.56
DURANGO,5,AJO,Ajo blanco,33,33,0,Tonelada,296.58,8.99,20839.57,6180.6
DURANGO,6,ALFALFA VERDE,Alfalfa verde s/clasificar,30052.3,30052.3,0,Tonelada,2669451,88.83,567.96,1516142.14
DURANGO,7,ALGODÓN HUESO,Algodón hueso s/clasificar,3038.9,3038.9,0,Tonelada,13462.1,4.43,12278.13,165289.44
DURANGO,8,AVENA FORRAJERA EN VERDE,Avena forrajera en verde s/clasificar,114955.83,114416.83,539,Tonelada,1874178.5,16.38,539.55,1011208.95
DURANGO,9,AVENA GRANO,Avena grano s/clasificar,745,745,0,Tonelada,2988.89,4.01,4851.49,14500.57
DURANGO,10,BETABEL,Betabel s/clasificar,6,6,0,Tonelada,149.61,24.94,4717.18,705.74
DURANGO,11,CACAHUATE,Cacahuate s/clasificar,447.6,447.6,0,Tonelada,574.52,1.28,21870.75,12565.19
DURANGO,12,CALABACITA,Calabacita criolla,16,16,0,Tonelada,215.44,13.47,4862.05,1047.48
DURANGO,13,CALABACITA,Calabacita italiana (zucchini),110.95,110.95,0,Tonelada,3707.31,33.41,4769.47,17681.91
DURANGO,14,CALABACITA,Calabacita italiana (zucchini) invernadero,2,2,0,Tonelada,120,60,5000,600
DURANGO,15,CAMOTE,Camote s/clasificar,26.5,26.5,0,Tonelada,525,19.81,5138.1,2697.5
DURANGO,16,CÁRTAMO,Cártamo s/clasificar,30,30,0,Tonelada,16.2,0.54,5296.3,85.8
DURANGO,17,CEBADA GRANO,Cebada grano s/clasificar,12382.5,12382.5,0,Tonelada,35024.91,2.83,4722.3,165398.26
DURANGO,18,CEBOLLA,Cebolla blanca,403.6,403.6,0,Tonelada,10252.48,25.4,4830.4,49523.55
DURANGO,19,CEBOLLA,Cebolla cambray,5,5,0,Tonelada,75,15,5500,412.5
DURANGO,20,CHABACANO,Chabacano s/clasificar,5.25,5.25,0,Tonelada,10.85,2.07,5138.63,55.75
DURANGO,21,CHÍCHARO,Chícharo s/clasificar,4,4,0,Tonelada,20.84,5.21,7050,146.92
DURANGO,22,CHILE SECO,Chile seco ancho,574,574,0,Tonelada,1534.67,2.67,56260.76,86341.7
DURANGO,23,CHILE SECO,Chile seco guajillo,575,575,0,Tonelada,1973,3.43,47059.05,92847.5
DURANGO,24,CHILE SECO,Chile seco puya,920,920,0,Tonelada,1354.55,1.47,55170.12,74730.69
DURANGO,25,CHILE VERDE,Chile verde guajillo,9,9,0,Tonelada,72,8,10500,756
DURANGO,26,CHILE VERDE,Chile verde jalapeño,549.82,549.82,0,Tonelada,24528.53,44.61,6524.88,160045.74
DURANGO,27,CHILE VERDE,Chile verde morrón (bell pepper) malla sombra,10.53,10.53,0,Tonelada,1436.47,136.42,8000,11491.76
DURANGO,28,CHILE VERDE,Chile verde poblano,553.16,553.16,0,Tonelada,7784.55,14.07,10273.2,79972.23
DURANGO,29,CHILE VERDE,Chile verde puya,17.25,17.25,0,Tonelada,559.65,32.44,8573.66,4798.25
DURANGO,30,CHILE VERDE,Chile verde serrano,4,4,0,Tonelada,180,45,6978,1256.04
DURANGO,31,CILANTRO,Cilantro s/clasificar,48,48,0,Tonelada,1102.26,22.96,5226.16,5760.59
DURANGO,32,CIRUELA,Ciruela del país,214,207,0,Tonelada,580.72,2.81,8499.57,4935.87
DURANGO,33,COL (REPOLLO),Col (repollo) blanca,46,46,0,Tonelada,1683.5,36.6,3532.17,5946.4
DURANGO,34,COLIFLOR,Coliflor s/clasificar,2.5,2.5,0,Tonelada,55,22,4500,247.5
DURANGO,35,COMINO,Comino s/clasificar,0.5,0.5,0,Tonelada,0.18,0.36,19000,3.42
DURANGO,36,DURAZNO,Durazno criollo,683.65,641.15,0,Tonelada,1609.52,2.51,8581,13811.29
DURANGO,37,DURAZNO,Durazno diamante,13,13,0,Tonelada,47.12,3.62,11749.58,553.64
DURANGO,38,ELOTE,Elote s/clasificar,74.5,74.5,0,Tonelada,1470.66,19.74,4396.96,6466.43
DURANGO,39,ESPÁRRAGO,Espárrago s/clasificar,102,90.5,0,Tonelada,660.36,7.3,28117.39,18567.6
DURANGO,40,FRIJOL,Frijol bayo,791,791,0,Tonelada,395.5,0.5,12390.97,4900.63
DURANGO,41,FRIJOL,Frijol canario,4138,4138,0,Tonelada,1954.1,0.47,13224.31,25841.62
DURANGO,42,FRIJOL,Frijol flor de mayo,548,548,0,Tonelada,327.72,0.6,12038.06,3945.11
DURANGO,43,FRIJOL,Frijol negro querétaro,56,56,0,Tonelada,46.48,0.83,13950,648.4
DURANGO,44,FRIJOL,Frijol negro san luis,39980.31,39980.31,0,Tonelada,19383.31,0.48,12850.82,249091.51
DURANGO,45,FRIJOL,Frijol otros negros,4333,4333,0,Tonelada,2143.69,0.49,12994.56,27856.31
DURANGO,46,FRIJOL,Frijol pinto nacional,9269,7294,1975,Tonelada,2095.45,0.29,13093.34,27436.44
DURANGO,47,FRIJOL,Frijol pinto saltillo,186299.39,186169.89,129.5,Tonelada,103145.93,0.55,13037.8,1344795.55
DURANGO,48,GARBANZO GRANO,Garbanzo grano blanco,244,244,0,Tonelada,57.18,0.23,13782.89,788.11
DURANGO,49,GIRASOL,Girasol s/clasificar,230,230,0,Tonelada,98.9,0.43,7012.5,693.54
DURANGO,50,GRANADA,Granada roja,21.9,20.9,0,Tonelada,155.71,7.45,11000,1712.81
DURANGO,51,GUAYABA,Guayaba criolla,226.5,187.5,0,Tonelada,514.66,2.74,5575.55,2869.51
DURANGO,52,HABA VERDE,Haba verde s/clasificar,4.27,4.27,0,Tonelada,30.79,7.21,3208.87,98.8
DURANGO,53,HIGO,Higo negro,22.4,18.4,0,Tonelada,104.7,5.69,15802.84,1654.56
DURANGO,54,LECHUGA,Lechuga romana,55.5,55.5,0,Tonelada,1494.23,26.92,2518.09,3762.61
DURANGO,55,LIMA,Lima s/clasificar,238.5,211.5,0,Tonelada,710.74,3.36,5519.44,3922.89
DURANGO,56,LIMÓN,Limón agrio (mexicano),253,239,0,Tonelada,780.18,3.26,6062.4,4729.76
DURANGO,57,MAÍZ FORRAJERO EN VERDE,Maíz forrajero en verde s/clasificar,64599.52,64599.52,0,Tonelada,2318291.93,35.89,616.64,1429551.1
DURANGO,58,MAÍZ GRANO,Maíz grano amarillo,22022,22022,0,Tonelada,54632.96,2.48,3999.84,218523.22
DURANGO,59,MAÍZ GRANO,Maíz grano blanco,145767.13,141647.13,4120,Tonelada,334435.43,2.36,3718,1243432.14
