Año,IdCiclo,Ciclo,Ciclo corto,Ciclo-Año,IdTecnologia,Tecnología,IdModalidad,Modalidad,IdEstado,Estado,IdZona,Zona,IdCultivo,Cultivo,IdEstatus,Estatus,Inicio de siembra,Fin de siembra,Inicio de cosecha,Fin de cosecha,Rendimiento pesimista,Rendimiento optimista,Rendimiento probable,Precio pesimista,Precio optimista,Precio probable,Ingreso probable,Subsidios,TotalFinanciable,TotalNoFinanciable,AportacionN1,AportacionN2,TasaN1,TasaN2,Fecha de termino del prestamo,InicioMinistracion1,FinMinistracion1,InicioMinistracion2,FinMinistracion2,InicioMinistracion3,FinMinistracion3,InicioMinistracion4,FinMinistracion4,Usuario que elabora,Usuario que autoriza,TotalCreditoMenorUDIS,TotalAportacionMenorUDIS,TotalInteresesMenorUDIS,TotalMenorUDIS,TotalCreditoMayorUDIS,TotalAportacionMayorUDIS,TotalInteresesMayorUDIS,TotalMayorUDIS,CostoTotal,UtilidadProbable,CostoUnitario,PuntoEquilibrio,TierraCompaVenta,RentaHA,RentaCiclo,Jornales,AvioInteres,CostoDirecto,IdCapitulo1,Capitulo1,SubTotalFinanciable1,SubTotalNoFinanciable1,Subtotal1,Jornales1,IdCapitulo2,Capitulo2,SubTotalFinanciable2,SubTotalNoFinanciable2,Subtotal2,Jornales2,IdCapitulo3,Capitulo3,SubTotalFinanciable3,SubTotalNoFinanciable3,Subtotal3,Jornales3,IdCapitulo4,Capitulo4,SubTotalFinanciable4,SubTotalNoFinanciable4,Subtotal4,Jornales4,IdCapitulo5,Capitulo5,SubTotalFinanciable5,SubTotalNoFinanciable5,Subtotal5,Jornales5,IdCapitulo6,Capitulo6,SubTotalFinanciable6,SubTotalNoFinanciable6,Subtotal6,Jornales6,IdCapitulo7,Capitulo7,SubTotalFinanciable7,SubTotalNoFinanciable7,Subtotal7,Jornales7,IdCapitulo8,Capitulo8,SubTotalFinanciable8,SubTotalNoFinanciable8,Subtotal8,Jornales8,IdCapitulo9,Capitulo9,SubTotalFinanciable9,SubTotalNoFinanciable9,Subtotal9,Jornales9
2020,1,PRIMAVERA-VERANO,PV,PV - 2020,3,TEMPORAL-MEJORADA-FERTILIZADA,1,TRADICIONAL,14,JALISCO,84,CIENEGA VALLES,120,MAÍZ,3,Autorizado,15/05/20,10/07/20,15/11/20,31/01/20,6,11,10,3750,4250,4000,40000,0,29296.2,0,0.2145,0.2145,0.15,0.15,28/02/21,01/05/20,30/06/20,01/07/20,31/12/20,,,,,Sergio Urzúa Soria,Enrique Trejo Torres,23000,6296.2,2724.604479,32020.80448,23000,6296.2,2724.604479,32020.80448,32020.80448,7979.195521,3202.080448,8.00520112,350000,8000,8000,0.25,6.43115112,7.32405,1,PREPARACIÓN DEL TERRENO,2800,0,2800,0,2,SIEMBRA,6962.5,0,6962.5,0.25,3,FERTILIZACIÓN,8000,0,8000,0,4,LABORES CULTURALES,600,0,600,0,0,,0,0,0,0,6,"CONTROL DE PLAGAS, MALEZAS Y ENFERMEDADES",4000,0,4000,0,7,"COSECHA, SELECCIÓN Y EMPAQUE",2250,0,2250,0,0,,0,0,0,0,9,DIVERSOS,4683.7,0,4683.7,0
2020,1,PRIMAVERA-VERANO,PV,PV - 2020,3,TEMPORAL-MEJORADA-FERTILIZADA,1,TRADICIONAL,15,MEXICO,140,AGENCIAS ESTADO DE MEXICO,138,CEBADA PRODUCTIVIDAD MEDIA,3,Autorizado,15/04/20,15/06/20,01/09/20,30/11/20,1.7,2.5,2.25,4750,5200,4990,11227.5,0,9667.5,0,0.2,0.2,0.14,0.14,28/02/21,01/04/20,01/05/20,01/06/20,01/12/20,,,,,Juan Manuel Jiménez Romo,Juan Antonio Villaseñor Valenzuela,7720,1947.5,900.8284444,10568.32844,7720,1947.5,900.8284444,10568.32844,10568.32844,659.1715556,4697.034864,2.117901492,40000,2500,2500,2,1.727620931,1.937374749,1,PREPARACIÓN DEL TERRENO,2800,0,2800,0,2,SIEMBRA,1800,0,1800,0,3,FERTILIZACIÓN,897.5,0,897.5,0,4,LABORES CULTURALES,400,0,400,2,0,,0,0,0,0,6,"CONTROL DE PLAGAS, MALEZAS Y ENFERMEDADES",1560,0,1560,0,7,"COSECHA, SELECCIÓN Y EMPAQUE",1500,0,1500,0,8,COMERCIALIZACIÓN,150,0,150,0,9,DIVERSOS,560,0,560,0
2020,1,PRIMAVERA-VERANO,PV,PV - 2020,3,TEMPORAL-MEJORADA-FERTILIZADA,1,TRADICIONAL,17,MORELOS,62,ORIENTE MORELOS,118,SORGO,3,Autorizado,01/06/20,31/07/20,16/11/20,31/12/20,4.5,7.5,6.5,3600,4200,3700,24050,0,13820,0,0.1,0.2,0.12,0.12,31/01/21,01/05/20,30/11/20,,,,,,,José Isabel Atriano Garza,Martín Anguiano Zavala,12430,1390,1140.15,14960.15,11050,2770,1013.466667,14833.46667,14833.46667,9216.533333,2282.071795,4.009045045,100000,3500,3500,6,3.260396396,3.735135135,1,PREPARACIÓN DEL TERRENO,2200,0,2200,0,2,SIEMBRA,3200,0,3200,0,3,FERTILIZACIÓN,4250,0,4250,2,0,,0,0,0,0,0,,0,0,0,0,6,"CONTROL DE PLAGAS, MALEZAS Y ENFERMEDADES",2850,0,2850,4,7,"COSECHA, SELECCIÓN Y EMPAQUE",410,0,410,0,0,,0,0,0,0,9,DIVERSOS,910,0,910,0
2020,1,PRIMAVERA-VERANO,PV,PV - 2020,3,TEMPORAL-MEJORADA-FERTILIZADA,1,TRADICIONAL,17,MORELOS,62,ORIENTE MORELOS,120,MAÍZ,3,Autorizado,01/06/20,31/07/20,16/11/20,31/12/20,5,8,7.5,3500,4200,4000,30000,0,17880,0,0.1,0.2,0.12,0.12,31/01/21,03/05/20,30/11/20,,,,,,,Esteban Guadalupe Eligio,Martín Anguiano Zavala,16090,1790,1464.372,19344.372,14300,3580,1301.664,19181.664,19181.664,10818.336,2557.5552,4.795416,100000,3500,3500,6,3.900416,4.47,1,PREPARACIÓN DEL TERRENO,3200,0,3200,0,2,SIEMBRA,3800,0,3800,0,3,FERTILIZACIÓN,5390,0,5390,2,0,,0,0,0,0,0,,0,0,0,0,6,"CONTROL DE PLAGAS, MALEZAS Y ENFERMEDADES",2490,0,2490,4,7,"COSECHA, SELECCIÓN Y EMPAQUE",1850,0,1850,0,0,,0,0,0,0,9,DIVERSOS,1150,0,1150,0
2020,1,PRIMAVERA-VERANO,PV,PV - 2020,3,TEMPORAL-MEJORADA-FERTILIZADA,1,TRADICIONAL,18,NAYARIT,109,AGENCIAS DE NAYARIT,120,MAÍZ,3,Autorizado,25/06/20,25/07/20,15/12/20,15/02/21,9.5,10.5,10,3942,4358,4150,41500,,20762.5,0,0.2,0.2,0.1462,0.1462,31/03/21,01/05/20,01/04/21,,,,,,,María Navidad Sánchez Coronel,Julio César De la Cruz Zavaleta,16610,4152.5,2252.998856,23015.49886,16610,4152.5,2252.998856,23015.49886,23015.49886,18484.50114,2301.549886,5.545903339,50000,7000,5000,6,4.545300929,5.003012048,1,PREPARACIÓN DEL TERRENO,2500,0,2500,0,2,SIEMBRA,3625,0,3625,0,3,FERTILIZACIÓN,6005,0,6005,0,4,LABORES CULTURALES,500,0,500,2,0,,0,0,0,0,6,"CONTROL DE PLAGAS, MALEZAS Y ENFERMEDADES",1782.5,0,1782.5,4,7,"COSECHA, SELECCIÓN Y EMPAQUE",3200,0,3200,0,8,COMERCIALIZACIÓN,1370,0,1370,0,9,DIVERSOS,1780,0,1780,0
2020,1,PRIMAVERA-VERANO,PV,PV - 2020,3,TEMPORAL-MEJORADA-FERTILIZADA,1,TRADICIONAL,21,PUEBLA,58,SIERRA NORTE PUEBLA,245,CEBADA,3,Autorizado,01/05/20,30/06/20,15/09/20,31/12/20,4.5,5.5,5,4990,5200,5000,25000,,34792,4980,0.2,0.2,0.15,0.16,01/02/21,01/03/20,01/02/21,,,,,,,Alma Nely López González,Iván Velasco Vivar,27830,6962,3908.301333,43680.30133,27830,6962,4168.854756,43940.85476,43940.85476,-18940.85476,8788.170951,8.788170951,200000,4000,4000,3,6.399770951,6.9584,1,PREPARACIÓN DEL TERRENO,2200,0,2200,0,2,SIEMBRA,2248,0,2248,0,3,FERTILIZACIÓN,3776,130,3906,1,0,,0,0,0,0,0,,0,0,0,0,6,"CONTROL DE PLAGAS, MALEZAS Y ENFERMEDADES",3268,450,3718,2,7,"COSECHA, SELECCIÓN Y EMPAQUE",1300,400,1700,0,8,COMERCIALIZACIÓN,1000,0,1000,0,9,DIVERSOS,21000,4000,25000,0
2020,1,PRIMAVERA-VERANO,PV,PV - 2020,3,TEMPORAL-MEJORADA-FERTILIZADA,1,TRADICIONAL,21,PUEBLA,123,AGENCIA TEZIUTLAN,245,CEBADA,3,Autorizado,01/05/20,31/05/20,01/11/20,30/11/20,2,3,3.5,4200,4600,4990,17465,,12961,0,0.1,0.2,0.15,0.15,01/12/20,01/03/20,01/12/20,,,,,,,Fabiola Santiago Guerra,Sandra Luz Sayago Marín,11660,1301,1336.603125,14297.60313,10360,2601,1188.091667,14149.09167,14149.09167,3315.908333,4042.597619,2.835489312,10000,2500,2500,6,2.314246827,2.59739479,1,PREPARACIÓN DEL TERRENO,2200,0,2200,0,2,SIEMBRA,1730,0,1730,0,3,FERTILIZACIÓN,3270,0,3270,2,0,,0,0,0,0,0,,0,0,0,0,6,"CONTROL DE PLAGAS, MALEZAS Y ENFERMEDADES",2086,0,2086,4,7,"COSECHA, SELECCIÓN Y EMPAQUE",1300,0,1300,0,8,COMERCIALIZACIÓN,875,0,875,0,9,DIVERSOS,1500,0,1500,0
2020,1,PRIMAVERA-VERANO,PV,PV - 2020,3,TEMPORAL-MEJORADA-FERTILIZADA,1,TRADICIONAL,23,QUINTANA ROO,147,SUR DE QUINTANA ROO,120,MAÍZ,3,Autorizado,01/06/20,31/07/20,01/10/20,30/11/20,4,6,5,3000,5000,4000,20000,,15395.6,0,0.2,0.2,0.14,0.14,30/01/21,01/05/20,01/06/20,01/07/20,01/11/20,,,,,Christopher Guevara Durán,Juan Ramírez Cárdenas,12310,3085.6,1185.701316,16581.30132,12310,3085.6,1185.701316,16581.30132,16581.30132,3418.698684,3316.260263,4.145325329,30000,5000,3000,0,3.373925329,3.8489,1,PREPARACIÓN DEL TERRENO,1200,0,1200,0,2,SIEMBRA,3490,0,3490,0,3,FERTILIZACIÓN,3671,0,3671,0,0,,0,0,0,0,0,,0,0,0,0,6,"CONTROL DE PLAGAS, MALEZAS Y ENFERMEDADES",3334.6,0,3334.6,0,7,"COSECHA, SELECCIÓN Y EMPAQUE",2500,0,2500,0,0,,0,0,0,0,9,DIVERSOS,1200,0,1200,0
2020,1,PRIMAVERA-VERANO,PV,PV - 2020,3,TEMPORAL-MEJORADA-FERTILIZADA,1,TRADICIONAL,23,QUINTANA ROO,147,SUR DE QUINTANA ROO,146,SOYA,3,Autorizado,01/06/20,15/08/20,15/11/20,15/12/20,2,3,2.5,6500,7500,7000,17500,,14401.603,0,0.2,0.2,0.14,0.14,30/01/21,01/06/20,01/12/20,,,,,,,Christopher Guevara Durán,Juan Ramírez Cárdenas,11520,2881.603,1088.761187,15490.36419,11520,2881.603,1088.761187,15490.36419,15490.36419,2009.635813,6196.145675,2.21290917,30000,5000,3000,0,1.801251598,2.057371857,1,PREPARACIÓN DEL TERRENO,1200,0,1200,0,2,SIEMBRA,1400,0,1400,0,3,FERTILIZACIÓN,2750,0,2750,0,0,,0,0,0,0,0,,0,0,0,0,6,"CONTROL DE PLAGAS, MALEZAS Y ENFERMEDADES",6251.603,0,6251.603,0,7,"COSECHA, SELECCIÓN Y EMPAQUE",1600,0,1600,0,0,,0,0,0,0,9,DIVERSOS,1200,0,1200,0
2020,1,PRIMAVERA-VERANO,PV,PV - 2020,3,TEMPORAL-MEJORADA-FERTILIZADA,1,TRADICIONAL,24,SAN LUIS POTOSI,104,HUASTECA POTOSINA,146,SOYA,3,Autorizado,15/06/20,20/07/20,15/11/20,15/01/20,2.7,2,2.3,6000,8000,7500,17250,,24295,0,0.2,0.2,0.24,0.24,01/01/21,01/05/20,01/08/20,01/09/20,01/12/20,,,,,Ixchel Ramírez Sedano,José Luis Ernesto Tovar Navarro,19430,4865,2180.706667,26475.70667,19430,4865,2180.706667,26475.70667,26475.70667,-9225.706667,11511.17681,3.530094222,90000,5000,5000,6,2.881427556,3.239333333,1,PREPARACIÓN DEL TERRENO,2900,0,2900,0,2,SIEMBRA,2575,0,2575,0,3,FERTILIZACIÓN,960,0,960,3,4,LABORES CULTURALES,1450,0,1450,3,0,,0,0,0,0,6,"CONTROL DE PLAGAS, MALEZAS Y ENFERMEDADES",2820,0,2820,0,7,"COSECHA, SELECCIÓN Y EMPAQUE",12900,0,12900,0,0,,0,0,0,0,9,DIVERSOS,690,0,690,0
